Kommun,balanced_accuracy,n_test,entropy,majority_prop,hhi,n_obs,p_NN,p_NV,p_VN,p_VV
1270,0.3957178442380822,2900,0.7375337344896011,0.7903093628354846,0.6401197087276232,9762,0.09045277607047736,0.0486580618725671,0.070579799221471,0.7903093628354846
1272,0.4185073555616816,2712,0.7225971316389398,0.7952998023281352,0.6476542789178616,9106,0.09037996925104327,0.04216999780364595,0.07215023061717549,0.7952998023281352
1273,0.4236937202650805,2761,0.7283652136912926,0.7925549182988854,0.6438619004073499,9241,0.09598528297803267,0.04360999891786603,0.06784979980521588,0.7925549182988854
1275,0.4037477170871355,1465,0.8943279037975211,0.7134561473768523,0.5402053950523569,4994,0.14377252703243892,0.05867040448538246,0.0841009211053264,0.7134561473768523
1276,0.3950067195437752,3627,0.8498879599316742,0.7355190367718841,0.5675150283337581,12292,0.13032866905304263,0.05060201757240482,0.08355027660266841,0.7355190367718841
1277,0.4083158078889515,3067,0.8991616287581926,0.711527432613267,0.5376632826647281,10462,0.14337602752819728,0.06012234754349073,0.08497419231504492,0.711527432613267
1278,0.4111362497810518,3369,0.6448678468174174,0.8251729159082636,0.6922269275056523,10988,0.07644703312704769,0.03139788860575173,0.06698216235893702,0.8251729159082636
1280,0.4193959033072468,70098,0.8893209952817411,0.7163609450905977,0.543302022147049,232401,0.13226707286113226,0.05141974432123786,0.09995223772703216,0.7163609450905977
1281,0.4374557756981772,26023,0.6418971522605066,0.8275258313847005,0.6955102470764358,86813,0.07435522329605013,0.0354785573589209,0.06264038796032852,0.8275258313847005
1282,0.4214958968981979,9512,0.8621134011064715,0.7309282224727546,0.5610914644201416,31932,0.12463985970186646,0.05135913816860829,0.09307277965677063,0.7309282224727546
1283,0.4180501851486793,30229,0.8193588154845066,0.7521318594551915,0.5882143769748206,101320,0.11238649822345045,0.048983418870904065,0.086498223450454,0.7521318594551915
1284,0.3984950089617691,5629,0.6354181947348447,0.8294433515870062,0.6986128786052422,18809,0.0767717582008613,0.03376043383486629,0.0600244563772662,0.8294433515870062
1285,0.4158902421341947,6976,0.7486520182286301,0.7844127806563039,0.6321172604186241,23160,0.09710708117443868,0.04572538860103627,0.07275474956822107,0.7844127806563039
1286,0.4109268342445836,6576,0.6713789583889154,0.8161018096484498,0.6781856507763051,22159,0.07549979692224379,0.03705040841193195,0.07134798501737442,0.8161018096484498
1287,0.4139980416122749,9578,0.7542340959233069,0.7803161780947272,0.6268605308473549,31691,0.10170079833391184,0.04076867249376795,0.077214351077593,0.7803161780947272
1290,0.4331792389558647,18212,0.7563240120127059,0.7813536278020957,0.6276893255174785,60312,0.09371269399124553,0.0452977848521024,0.07963589335455631,0.7813536278020957
1291,0.4308976030757451,4242,0.7179976428159878,0.7978413690264858,0.6511053706818206,14083,0.081445714691472,0.04253355108996663,0.07817936519207555,0.7978413690264858
1292,0.4160941988064903,9257,0.6932976694431451,0.8076772168454094,0.665600334758116,30584,0.08396547214229663,0.04119801203243526,0.06715929897985876,0.8076772168454094
1293,0.4249808662900242,10918,0.7459470599429207,0.7848845268790374,0.6329680018565739,36069,0.09684216363081871,0.042529596052011426,0.07574371343813247,0.7848845268790374
1315,0.3937750549891616,2166,0.8152201526615982,0.7521751333146225,0.5889799730901273,7126,0.12054448498456358,0.04658995228739826,0.08069042941341566,0.7521751333146225
1380,0.4238603151166401,21536,0.7417522882444869,0.7875492709280851,0.6364344571224896,72558,0.08812260536398467,0.043372198792689984,0.08095592491524022,0.7875492709280851
1381,0.4401394375262855,5528,0.7228398373086797,0.7943243096029196,0.6465145004946568,18359,0.09341467400185195,0.03976251429816439,0.07249850209706411,0.7943243096029196
1382,0.4339745528698755,9648,0.7087988872056599,0.8016689847009736,0.6566850258613726,32355,0.08462370576417864,0.04296090248802349,0.07074640704682429,0.8016689847009736
1383,0.4074508503657287,13924,0.6290791411521592,0.832656219771716,0.7033111324768474,46521,0.06704499043442746,0.034822983168891465,0.06547580662496506,0.832656219771716
1384,0.4095038653573052,17509,0.5583126811737031,0.8585527997954487,0.744195405356035,58665,0.05200715929429813,0.030972470808829797,0.05846757010142334,0.8585527997954487
1401,0.4170197161553158,7784,0.5982876796955224,0.844658332694225,0.7219019785846492,26078,0.05970549888795153,0.035240432548508324,0.06039573586931513,0.844658332694225
1402,0.4153736651261162,8042,0.712428051038707,0.7990155865463495,0.6531382554499153,26818,0.08598702364083824,0.038705347154895965,0.07629204265791632,0.7990155865463495
1407,0.3922101182395627,2914,0.5116867003090573,0.8741539763113367,0.769840646750038,9456,0.04060913705583756,0.028236040609137057,0.05700084602368866,0.8741539763113367
1415,0.4212718519905,5621,0.6321358208586174,0.8318788770896857,0.7020193408688993,19022,0.0693933340342761,0.036957207444012194,0.06177058143202607,0.8318788770896857
1419,0.422917135464649,3555,0.585542602431441,0.8488342732093258,0.7286289525973635,11881,0.061274303509805575,0.03240467974076256,0.05748674354010605,0.8488342732093258
1421,0.3875889029064547,3449,0.6648939767740343,0.819081517492838,0.6825463278299733,11519,0.07031860404549006,0.03811094713082733,0.07248893133084469,0.819081517492838
1427,0.4080718661351497,2124,0.6410990621838901,0.8288662749032536,0.6972846077579707,6977,0.07109072667335531,0.03984520567579189,0.06019779274759925,0.8288662749032536
1430,0.3834899878231975,2302,0.7448344833637178,0.7850504514073288,0.6332500185436456,7532,0.09346787041954328,0.0403611258629846,0.08112055231014338,0.7850504514073288
1435,0.3881760606620037,2779,0.7150200525432484,0.7997453040432984,0.6536885949555736,9423,0.08277618592804839,0.04563302557571899,0.07184548445293432,0.7997453040432984
1438,0.3992908517751664,1041,0.8159454824646868,0.7547058823529412,0.591333564013841,3400,0.11058823529411765,0.05235294117647059,0.08235294117647059,0.7547058823529412
1439,0.4097322428134765,1414,0.727985441848046,0.7950271625574593,0.646646726444259,4786,0.08106978687839532,0.04910154617634768,0.07480150438779774,0.7950271625574593
1440,0.409112850361413,6613,0.7301859521729843,0.7928672542125211,0.643918571317331,21899,0.08772090049773962,0.04461390931092744,0.07479793597881182,0.7928672542125211
1441,0.4001527232732234,8629,0.5700599369791441,0.8549395438307227,0.7382425043729116,29112,0.0533800494641385,0.03424704589172849,0.05743336081341028,0.8549395438307227
1442,0.4169456072773994,2480,0.6426943056292589,0.8275695866971924,0.6954683274606984,8299,0.06952644896975539,0.03614893360645861,0.06675503072659357,0.8275695866971924
1443,0.3873174882629108,1942,0.6259025262143888,0.834552784829028,0.7060688039942378,6697,0.05987755711512618,0.038076750783933105,0.0674929072719128,0.834552784829028
1444,0.4436072698017027,1215,0.6384096100105803,0.8304286387187941,0.6995327846174361,4246,0.06735751295336788,0.04215732454074423,0.06005652378709374,0.8304286387187941
1445,0.3703593744477494,1224,0.6758581973513346,0.8155268921878802,0.6770247314583655,4109,0.07885130201995619,0.044293015332197615,0.06132879045996593,0.8155268921878802
1446,0.3579019898473223,1510,0.6293294119101542,0.833691196564513,0.7046206174105678,5123,0.05836423970329885,0.0407964083544798,0.06714815537770838,0.833691196564513
1447,0.3999473587276944,1162,0.7738564993266673,0.7741852043455768,0.6175855194542256,3866,0.09906880496637352,0.04966373512674599,0.07708225556130367,0.7741852043455768
1452,0.410407322650217,2532,0.7099596222715243,0.7997670355270822,0.654308618226926,8585,0.08689574839836925,0.0378567268491555,0.07548048922539313,0.7997670355270822
1460,0.4436368607194378,2028,0.788935535052861,0.7658996712876948,0.6067583140482695,6997,0.1087608975275118,0.04730598828069173,0.07803344290410176,0.7658996712876948
1461,0.3806681245087417,1952,0.753220324249533,0.7823682998003378,0.6292615492971134,6511,0.09814160651205651,0.04576869912455844,0.07372139456304715,0.7823682998003378
1462,0.3760467493839237,3093,0.811065149374239,0.7566902794175522,0.5940732359241537,10164,0.11078315623770169,0.05145611963793782,0.08107044470680834,0.7566902794175522
1463,0.3897690479378766,7613,0.7219901069464396,0.7966217027578754,0.649222599334565,24983,0.08389704999399591,0.04491053916663331,0.07457070808149542,0.7966217027578754
1465,0.4045096079257192,2334,0.7695588133272266,0.775573305849008,0.6196155385671418,7762,0.09456325689255346,0.04586446792063901,0.08399896933779953,0.775573305849008
1466,0.4325432319618366,2057,0.6650684329914487,0.817907444668008,0.6810998211169864,6958,0.08019545846507617,0.03506754814601897,0.0668295487208968,0.817907444668008
1470,0.4133799880594262,3484,0.7167859200068026,0.797818431675685,0.6513117429387014,11643,0.09258782100833118,0.044318474619943315,0.06527527269604054,0.797818431675685
1471,0.4206844919709278,2903,0.6571354536412759,0.8221233443708609,0.6871581967005284,9664,0.07584850993377483,0.03849337748344371,0.06353476821192053,0.8221233443708609
1472,0.3708810280178785,2435,0.6997325630240729,0.8049304677623261,0.6615808055542679,7910,0.08356510745891277,0.040455120101137804,0.07104930467762326,0.8049304677623261
1473,0.3859527024175465,2048,0.7698175028056053,0.7769538780958031,0.6211098919155296,6743,0.0947649414207326,0.05309209550645114,0.0751890849770132,0.7769538780958031
1480,0.425865647338935,123568,0.8357675894925705,0.7442317180766641,0.5779337441449351,411431,0.11706701731274503,0.05025630057044802,0.08844496404014282,0.7442317180766641
1481,0.4170618431750437,14695,0.677600584864635,0.8140481427426152,0.6750000025036651,48647,0.07429029539334389,0.038912985384504696,0.07274857647953625,0.8140481427426152
1482,0.4090227902858193,9806,0.6077970729745455,0.8409585389023381,0.7161476831646617,32633,0.05678301106242147,0.035577482916066556,0.06668096711917385,0.8409585389023381
1484,0.4018633674841907,3234,0.7099837105618165,0.8006526806526807,0.6553299319173446,10725,0.08102564102564103,0.04018648018648019,0.07813519813519813,0.8006526806526807
1485,0.4082718555997139,12094,0.7544047111283897,0.7825891743576951,0.6292836217039971,40090,0.08852581691194812,0.04579695684709404,0.08308805188326265,0.7825891743576951
1486,0.4513544941660555,2677,0.8543673102865841,0.7341332137250505,0.565510229732097,8918,0.13018614039022203,0.05359946176272707,0.08208118412200045,0.7341332137250505
1487,0.4025302294211965,8512,0.7223907172015982,0.796450716271114,0.6489677034461516,28062,0.08124866367329485,0.044508588126291784,0.07779203192929941,0.796450716271114
